date,drug_name,units_sold,category
2024-03-05,Amoxicillin_500mg,14,Antibiotic
2024-03-06,Amoxicillin_500mg,24,Antibiotic
2024-03-07,Amoxicillin_500mg,29,Antibiotic
2024-03-08,Amoxicillin_500mg,36,Antibiotic
2024-03-09,Amoxicillin_500mg,15,Antibiotic
2024-03-10,Amoxicillin_500mg,8,Antibiotic
2024-03-11,Amoxicillin_500mg,25,Antibiotic
2024-03-12,Amoxicillin_500mg,21,Antibiotic
2024-03-13,Amoxicillin_500mg,24,Antibiotic
2024-03-14,Amoxicillin_500mg,23,Antibiotic
2024-03-15,Amoxicillin_500mg,17,Antibiotic
2024-03-16,Amoxicillin_500mg,18,Antibiotic
2024-03-17,Amoxicillin_500mg,7,Antibiotic
2024-03-18,Amoxicillin_500mg,28,Antibiotic
2024-03-19,Amoxicillin_500mg,24,Antibiotic
2024-03-20,Amoxicillin_500mg,13,Antibiotic
2024-03-21,Amoxicillin_500mg,18,Antibiotic
2024-03-22,Amoxicillin_500mg,22,Antibiotic
2024-03-23,Amoxicillin_500mg,17,Antibiotic
2024-03-24,Amoxicillin_500mg,3,Antibiotic
2024-03-25,Amoxicillin_500mg,23,Antibiotic
2024-03-26,Amoxicillin_500mg,12,Antibiotic
2024-03-27,Amoxicillin_500mg,24,Antibiotic
2024-03-28,Amoxicillin_500mg,23,Antibiotic
2024-03-29,Amoxicillin_500mg,23,Antibiotic
2024-03-30,Amoxicillin_500mg,11,Antibiotic
2024-03-31,Amoxicillin_500mg,11,Antibiotic
2024-04-01,Amoxicillin_500mg,21,Antibiotic
2024-04-02,Amoxicillin_500mg,14,Antibiotic
2024-04-03,Amoxicillin_500mg,24,Antibiotic
2024-04-04,Amoxicillin_500mg,16,Antibiotic
2024-04-05,Amoxicillin_500mg,20,Antibiotic
2024-04-06,Amoxicillin_500mg,10,Antibiotic
2024-04-07,Amoxicillin_500mg,2,Antibiotic
2024-04-08,Amoxicillin_500mg,20,Antibiotic
2024-04-09,Amoxicillin_500mg,15,Antibiotic
2024-04-10,Amoxicillin_500mg,29,Antibiotic
2024-04-11,Amoxicillin_500mg,14,Antibiotic
2024-04-12,Amoxicillin_500mg,17,Antibiotic
2024-04-13,Amoxicillin_500mg,4,Antibiotic
2024-04-14,Amoxicillin_500mg,4,Antibiotic
2024-04-15,Amoxicillin_500mg,15,Antibiotic
2024-04-16,Amoxicillin_500mg,16,Antibiotic
2024-04-17,Amoxicillin_500mg,16,Antibiotic
2024-04-18,Amoxicillin_500mg,20,Antibiotic
2024-04-19,Amoxicillin_500mg,16,Antibiotic
2024-04-20,Amoxicillin_500mg,7,Antibiotic
2024-04-21,Amoxicillin_500mg,4,Antibiotic
2024-04-22,Amoxicillin_500mg,18,Antibiotic
2024-04-23,Amoxicillin_500mg,16,Antibiotic
2024-04-24,Amoxicillin_500mg,20,Antibiotic
2024-04-25,Amoxicillin_500mg,17,Antibiotic
2024-04-26,Amoxicillin_500mg,16,Antibiotic
2024-04-27,Amoxicillin_500mg,6,Antibiotic
2024-04-28,Amoxicillin_500mg,3,Antibiotic
2024-04-29,Amoxicillin_500mg,15,Antibiotic
2024-04-30,Amoxicillin_500mg,19,Antibiotic
2024-05-01,Amoxicillin_500mg,12,Antibiotic
2024-05-02,Amoxicillin_500mg,10,Antibiotic
2024-05-03,Amoxicillin_500mg,14,Antibiotic
2024-05-04,Amoxicillin_500mg,11,Antibiotic
2024-05-05,Amoxicillin_500mg,5,Antibiotic
2024-05-06,Amoxicillin_500mg,15,Antibiotic
2024-05-07,Amoxicillin_500mg,34,Antibiotic
2024-05-08,Amoxicillin_500mg,17,Antibiotic
2024-05-09,Amoxicillin_500mg,20,Antibiotic
2024-05-10,Amoxicillin_500mg,19,Antibiotic
2024-05-11,Amoxicillin_500mg,11,Antibiotic
2024-05-12,Amoxicillin_500mg,4,Antibiotic
2024-05-13,Amoxicillin_500mg,20,Antibiotic
2024-05-14,Amoxicillin_500mg,15,Antibiotic
2024-05-15,Amoxicillin_500mg,14,Antibiotic
2024-05-16,Amoxicillin_500mg,11,Antibiotic
2024-05-17,Amoxicillin_500mg,18,Antibiotic
2024-05-18,Amoxicillin_500mg,11,Antibiotic
2024-05-19,Amoxicillin_500mg,13,Antibiotic
2024-05-20,Amoxicillin_500mg,17,Antibiotic
2024-05-21,Amoxicillin_500mg,23,Antibiotic
2024-05-22,Amoxicillin_500mg,21,Antibiotic
2024-05-23,Amoxicillin_500mg,16,Antibiotic
2024-05-24,Amoxicillin_500mg,12,Antibiotic
2024-05-25,Amoxicillin_500mg,6,Antibiotic
2024-05-26,Amoxicillin_500mg,4,Antibiotic
2024-05-27,Amoxicillin_500mg,2,Antibiotic
2024-05-28,Amoxicillin_500mg,26,Antibiotic
2024-05-29,Amoxicillin_500mg,13,Antibiotic
2024-05-30,Amoxicillin_500mg,12,Antibiotic
2024-05-31,Amoxicillin_500mg,17,Antibiotic
2024-06-01,Amoxicillin_500mg,4,Antibiotic
2024-06-02,Amoxicillin_500mg,4,Antibiotic
2024-06-03,Amoxicillin_500mg,24,Antibiotic
2024-06-04,Amoxicillin_500mg,10,Antibiotic
2024-06-05,Amoxicillin_500mg,16,Antibiotic
2024-06-06,Amoxicillin_500mg,17,Antibiotic
2024-06-07,Amoxicillin_500mg,19,Antibiotic
2024-06-08,Amoxicillin_500mg,8,Antibiotic
2024-06-09,Amoxicillin_500mg,5,Antibiotic
2024-06-10,Amoxicillin_500mg,9,Antibiotic
2024-06-11,Amoxicillin_500mg,21,Antibiotic
2024-06-12,Amoxicillin_500mg,17,Antibiotic
2024-06-13,Amoxicillin_500mg,25,Antibiotic
2024-06-14,Amoxicillin_500mg,19,Antibiotic
2024-06-15,Amoxicillin_500mg,12,Antibiotic
2024-06-16,Amoxicillin_500mg,2,Antibiotic
2024-06-17,Amoxicillin_500mg,29,Antibiotic
2024-06-18,Amoxicillin_500mg,23,Antibiotic
2024-06-19,Amoxicillin_500mg,6,Antibiotic
2024-06-20,Amoxicillin_500mg,18,Antibiotic
2024-06-21,Amoxicillin_500mg,23,Antibiotic
2024-06-22,Amoxicillin_500mg,9,Antibiotic
2024-06-23,Amoxicillin_500mg,10,Antibiotic
2024-06-24,Amoxicillin_500mg,14,Antibiotic
2024-06-25,Amoxicillin_500mg,19,Antibiotic
2024-06-26,Amoxicillin_500mg,15,Antibiotic
2024-06-27,Amoxicillin_500mg,18,Antibiotic
2024-06-28,Amoxicillin_500mg,19,Antibiotic
2024-06-29,Amoxicillin_500mg,14,Antibiotic
2024-06-30,Amoxicillin_500mg,3,Antibiotic
2024-07-01,Amoxicillin_500mg,17,Antibiotic
2024-07-02,Amoxicillin_500mg,15,Antibiotic
2024-07-03,Amoxicillin_500mg,17,Antibiotic
2024-07-04,Amoxicillin_500mg,8,Antibiotic
2024-07-05,Amoxicillin_500mg,15,Antibiotic
2024-07-06,Amoxicillin_500mg,10,Antibiotic
2024-07-07,Amoxicillin_500mg,4,Antibiotic
2024-07-08,Amoxicillin_500mg,20,Antibiotic
2024-07-09,Amoxicillin_500mg,17,Antibiotic
2024-07-10,Amoxicillin_500mg,20,Antibiotic
2024-07-11,Amoxicillin_500mg,18,Antibiotic
2024-07-12,Amoxicillin_500mg,18,Antibiotic
2024-07-13,Amoxicillin_500mg,6,Antibiotic
2024-07-14,Amoxicillin_500mg,4,Antibiotic
2024-07-15,Amoxicillin_500mg,21,Antibiotic
2024-07-16,Amoxicillin_500mg,14,Antibiotic
2024-07-17,Amoxicillin_500mg,26,Antibiotic
2024-07-18,Amoxicillin_500mg,22,Antibiotic
2024-07-19,Amoxicillin_500mg,14,Antibiotic
2024-07-20,Amoxicillin_500mg,10,Antibiotic
2024-07-21,Amoxicillin_500mg,8,Antibiotic
2024-07-22,Amoxicillin_500mg,20,Antibiotic
2024-07-23,Amoxicillin_500mg,15,Antibiotic
2024-07-24,Amoxicillin_500mg,12,Antibiotic
2024-07-25,Amoxicillin_500mg,16,Antibiotic
2024-07-26,Amoxicillin_500mg,20,Antibiotic
2024-07-27,Amoxicillin_500mg,8,Antibiotic
2024-07-28,Amoxicillin_500mg,4,Antibiotic
2024-07-29,Amoxicillin_500mg,16,Antibiotic
2024-07-30,Amoxicillin_500mg,13,Antibiotic
2024-07-31,Amoxicillin_500mg,16,Antibiotic
2024-08-01,Amoxicillin_500mg,17,Antibiotic
2024-08-02,Amoxicillin_500mg,17,Antibiotic
2024-08-03,Amoxicillin_500mg,10,Antibiotic
2024-08-04,Amoxicillin_500mg,5,Antibiotic
2024-08-05,Amoxicillin_500mg,20,Antibiotic
2024-08-06,Amoxicillin_500mg,18,Antibiotic
2024-08-07,Amoxicillin_500mg,23,Antibiotic
2024-08-08,Amoxicillin_500mg,16,Antibiotic
2024-08-09,Amoxicillin_500mg,11,Antibiotic
2024-08-10,Amoxicillin_500mg,10,Antibiotic
2024-08-11,Amoxicillin_500mg,6,Antibiotic
2024-08-12,Amoxicillin_500mg,16,Antibiotic
2024-08-13,Amoxicillin_500mg,20,Antibiotic
2024-08-14,Amoxicillin_500mg,19,Antibiotic
2024-08-15,Amoxicillin_500mg,11,Antibiotic
2024-08-16,Amoxicillin_500mg,15,Antibiotic
2024-08-17,Amoxicillin_500mg,10,Antibiotic
2024-08-18,Amoxicillin_500mg,2,Antibiotic
2024-08-19,Amoxicillin_500mg,25,Antibiotic
2024-08-20,Amoxicillin_500mg,13,Antibiotic
2024-08-21,Amoxicillin_500mg,17,Antibiotic
2024-08-22,Amoxicillin_500mg,20,Antibiotic
2024-08-23,Amoxicillin_500mg,12,Antibiotic
2024-08-24,Amoxicillin_500mg,6,Antibiotic
2024-08-25,Amoxicillin_500mg,2,Antibiotic
2024-08-26,Amoxicillin_500mg,18,Antibiotic
2024-08-27,Amoxicillin_500mg,20,Antibiotic
2024-08-28,Amoxicillin_500mg,26,Antibiotic
2024-08-29,Amoxicillin_500mg,17,Antibiotic
2024-08-30,Amoxicillin_500mg,28,Antibiotic
2024-08-31,Amoxicillin_500mg,10,Antibiotic
2024-09-01,Amoxicillin_500mg,9,Antibiotic
2024-09-02,Amoxicillin_500mg,7,Antibiotic
2024-09-03,Amoxicillin_500mg,19,Antibiotic
2024-09-04,Amoxicillin_500mg,11,Antibiotic
2024-09-05,Amoxicillin_500mg,20,Antibiotic
2024-09-06,Amoxicillin_500mg,21,Antibiotic
2024-09-07,Amoxicillin_500mg,8,Antibiotic
2024-09-08,Amoxicillin_500mg,3,Antibiotic
2024-09-09,Amoxicillin_500mg,19,Antibiotic
2024-09-10,Amoxicillin_500mg,17,Antibiotic
2024-09-11,Amoxicillin_500mg,16,Antibiotic
2024-09-12,Amoxicillin_500mg,12,Antibiotic
2024-09-13,Amoxicillin_500mg,20,Antibiotic
2024-09-14,Amoxicillin_500mg,10,Antibiotic
2024-09-15,Amoxicillin_500mg,7,Antibiotic
2024-09-16,Amoxicillin_500mg,27,Antibiotic
2024-09-17,Amoxicillin_500mg,25,Antibiotic
2024-09-18,Amoxicillin_500mg,10,Antibiotic
2024-09-19,Amoxicillin_500mg,17,Antibiotic
2024-09-20,Amoxicillin_500mg,19,Antibiotic
2024-09-21,Amoxicillin_500mg,10,Antibiotic
2024-09-22,Amoxicillin_500mg,4,Antibiotic
2024-09-23,Amoxicillin_500mg,10,Antibiotic
2024-09-24,Amoxicillin_500mg,21,Antibiotic
2024-09-25,Amoxicillin_500mg,20,Antibiotic
2024-09-26,Amoxicillin_500mg,20,Antibiotic
2024-09-27,Amoxicillin_500mg,14,Antibiotic
2024-09-28,Amoxicillin_500mg,12,Antibiotic
2024-09-29,Amoxicillin_500mg,11,Antibiotic
2024-09-30,Amoxicillin_500mg,23,Antibiotic
2024-10-01,Amoxicillin_500mg,18,Antibiotic
2024-10-02,Amoxicillin_500mg,29,Antibiotic
2024-10-03,Amoxicillin_500mg,19,Antibiotic
2024-10-04,Amoxicillin_500mg,23,Antibiotic
2024-10-05,Amoxicillin_500mg,13,Antibiotic
2024-10-06,Amoxicillin_500mg,10,Antibiotic
2024-10-07,Amoxicillin_500mg,25,Antibiotic
2024-10-08,Amoxicillin_500mg,20,Antibiotic
2024-10-09,Amoxicillin_500mg,19,Antibiotic
2024-10-10,Amoxicillin_500mg,20,Antibiotic
2024-10-11,Amoxicillin_500mg,21,Antibiotic
2024-10-12,Amoxicillin_500mg,16,Antibiotic
2024-10-13,Amoxicillin_500mg,4,Antibiotic
2024-10-14,Amoxicillin_500mg,7,Antibiotic
2024-10-15,Amoxicillin_500mg,18,Antibiotic
2024-10-16,Amoxicillin_500mg,18,Antibiotic
2024-10-17,Amoxicillin_500mg,20,Antibiotic
2024-10-18,Amoxicillin_500mg,19,Antibiotic
2024-10-19,Amoxicillin_500mg,19,Antibiotic
2024-10-20,Amoxicillin_500mg,5,Antibiotic
2024-10-21,Amoxicillin_500mg,23,Antibiotic
2024-10-22,Amoxicillin_500mg,16,Antibiotic
2024-10-23,Amoxicillin_500mg,16,Antibiotic
2024-10-24,Amoxicillin_500mg,25,Antibiotic
2024-10-25,Amoxicillin_500mg,15,Antibiotic
2024-10-26,Amoxicillin_500mg,13,Antibiotic
2024-10-27,Amoxicillin_500mg,1,Antibiotic
2024-10-28,Amoxicillin_500mg,25,Antibiotic
2024-10-29,Amoxicillin_500mg,21,Antibiotic
2024-10-30,Amoxicillin_500mg,11,Antibiotic
2024-10-31,Amoxicillin_500mg,15,Antibiotic
2024-11-01,Amoxicillin_500mg,26,Antibiotic
2024-11-02,Amoxicillin_500mg,15,Antibiotic
2024-11-03,Amoxicillin_500mg,10,Antibiotic
2024-11-04,Amoxicillin_500mg,21,Antibiotic
2024-11-05,Amoxicillin_500mg,27,Antibiotic
2024-11-06,Amoxicillin_500mg,21,Antibiotic
2024-11-07,Amoxicillin_500mg,26,Antibiotic
2024-11-08,Amoxicillin_500mg,36,Antibiotic
2024-11-09,Amoxicillin_500mg,16,Antibiotic
2024-11-10,Amoxicillin_500mg,11,Antibiotic
2024-11-11,Amoxicillin_500mg,8,Antibiotic
2024-11-12,Amoxicillin_500mg,19,Antibiotic
2024-11-13,Amoxicillin_500mg,17,Antibiotic
2024-11-14,Amoxicillin_500mg,23,Antibiotic
2024-11-15,Amoxicillin_500mg,27,Antibiotic
2024-11-16,Amoxicillin_500mg,12,Antibiotic
2024-11-17,Amoxicillin_500mg,4,Antibiotic
2024-11-18,Amoxicillin_500mg,16,Antibiotic
2024-11-19,Amoxicillin_500mg,30,Antibiotic
2024-11-20,Amoxicillin_500mg,29,Antibiotic
2024-11-21,Amoxicillin_500mg,24,Antibiotic
2024-11-22,Amoxicillin_500mg,22,Antibiotic
2024-11-23,Amoxicillin_500mg,16,Antibiotic
2024-11-24,Amoxicillin_500mg,7,Antibiotic
2024-11-25,Amoxicillin_500mg,29,Antibiotic
2024-11-26,Amoxicillin_500mg,25,Antibiotic
2024-11-27,Amoxicillin_500mg,22,Antibiotic
2024-11-28,Amoxicillin_500mg,9,Antibiotic
2024-11-29,Amoxicillin_500mg,26,Antibiotic
2024-11-30,Amoxicillin_500mg,11,Antibiotic
2024-12-01,Amoxicillin_500mg,6,Antibiotic
2024-12-02,Amoxicillin_500mg,31,Antibiotic
2024-12-03,Amoxicillin_500mg,35,Antibiotic
2024-12-04,Amoxicillin_500mg,37,Antibiotic
2024-12-05,Amoxicillin_500mg,28,Antibiotic
2024-12-06,Amoxicillin_500mg,45,Antibiotic
2024-12-07,Amoxicillin_500mg,13,Antibiotic
2024-12-08,Amoxicillin_500mg,6,Antibiotic
2024-12-09,Amoxicillin_500mg,43,Antibiotic
2024-12-10,Amoxicillin_500mg,32,Antibiotic
2024-12-11,Amoxicillin_500mg,31,Antibiotic
2024-12-12,Amoxicillin_500mg,38,Antibiotic
2024-12-13,Amoxicillin_500mg,25,Antibiotic
2024-12-14,Amoxicillin_500mg,18,Antibiotic
2024-12-15,Amoxicillin_500mg,8,Antibiotic
2024-12-16,Amoxicillin_500mg,33,Antibiotic
2024-12-17,Amoxicillin_500mg,36,Antibiotic
2024-12-18,Amoxicillin_500mg,34,Antibiotic
2024-12-19,Amoxicillin_500mg,25,Antibiotic
2024-12-20,Amoxicillin_500mg,35,Antibiotic
2024-12-21,Amoxicillin_500mg,18,Antibiotic
2024-12-22,Amoxicillin_500mg,11,Antibiotic
2024-12-23,Amoxicillin_500mg,46,Antibiotic
2024-12-24,Amoxicillin_500mg,37,Antibiotic
2024-12-25,Amoxicillin_500mg,7,Antibiotic
2024-12-26,Amoxicillin_500mg,43,Antibiotic
2024-12-27,Amoxicillin_500mg,46,Antibiotic
2024-12-28,Amoxicillin_500mg,14,Antibiotic
2024-12-29,Amoxicillin_500mg,13,Antibiotic
2024-12-30,Amoxicillin_500mg,38,Antibiotic
2024-12-31,Amoxicillin_500mg,28,Antibiotic
2025-01-01,Amoxicillin_500mg,12,Antibiotic
2025-01-02,Amoxicillin_500mg,36,Antibiotic
2025-01-03,Amoxicillin_500mg,37,Antibiotic
2025-01-04,Amoxicillin_500mg,15,Antibiotic
2025-01-05,Amoxicillin_500mg,15,Antibiotic
2025-01-06,Amoxicillin_500mg,36,Antibiotic
2025-01-07,Amoxicillin_500mg,26,Antibiotic
2025-01-08,Amoxicillin_500mg,41,Antibiotic
2025-01-09,Amoxicillin_500mg,31,Antibiotic
2025-01-10,Amoxicillin_500mg,45,Antibiotic
2025-01-11,Amoxicillin_500mg,20,Antibiotic
2025-01-12,Amoxicillin_500mg,6,Antibiotic
2025-01-13,Amoxicillin_500mg,31,Antibiotic
2025-01-14,Amoxicillin_500mg,30,Antibiotic
2025-01-15,Amoxicillin_500mg,41,Antibiotic
2025-01-16,Amoxicillin_500mg,29,Antibiotic
2025-01-17,Amoxicillin_500mg,43,Antibiotic
2025-01-18,Amoxicillin_500mg,23,Antibiotic
2025-01-19,Amoxicillin_500mg,17,Antibiotic
2025-01-20,Amoxicillin_500mg,11,Antibiotic
2025-01-21,Amoxicillin_500mg,47,Antibiotic
2025-01-22,Amoxicillin_500mg,33,Antibiotic
2025-01-23,Amoxicillin_500mg,21,Antibiotic
2025-01-24,Amoxicillin_500mg,39,Antibiotic
2025-01-25,Amoxicillin_500mg,18,Antibiotic
2025-01-26,Amoxicillin_500mg,6,Antibiotic
2025-01-27,Amoxicillin_500mg,33,Antibiotic
2025-01-28,Amoxicillin_500mg,30,Antibiotic
2025-01-29,Amoxicillin_500mg,32,Antibiotic
2025-01-30,Amoxicillin_500mg,41,Antibiotic
2025-01-31,Amoxicillin_500mg,33,Antibiotic
2025-02-01,Amoxicillin_500mg,14,Antibiotic
2025-02-02,Amoxicillin_500mg,8,Antibiotic
2025-02-03,Amoxicillin_500mg,18,Antibiotic
2025-02-04,Amoxicillin_500mg,23,Antibiotic
2025-02-05,Amoxicillin_500mg,26,Antibiotic
2025-02-06,Amoxicillin_500mg,23,Antibiotic
2025-02-07,Amoxicillin_500mg,34,Antibiotic
2025-02-08,Amoxicillin_500mg,21,Antibiotic
2025-02-09,Amoxicillin_500mg,3,Antibiotic
2025-02-10,Amoxicillin_500mg,30,Antibiotic
2025-02-11,Amoxicillin_500mg,30,Antibiotic
2025-02-12,Amoxicillin_500mg,34,Antibiotic
2025-02-13,Amoxicillin_500mg,29,Antibiotic
2025-02-14,Amoxicillin_500mg,41,Antibiotic
2025-02-15,Amoxicillin_500mg,22,Antibiotic
2025-02-16,Amoxicillin_500mg,12,Antibiotic
2025-02-17,Amoxicillin_500mg,10,Antibiotic
2025-02-18,Amoxicillin_500mg,28,Antibiotic
2025-02-19,Amoxicillin_500mg,26,Antibiotic
2025-02-20,Amoxicillin_500mg,28,Antibiotic
2025-02-21,Amoxicillin_500mg,52,Antibiotic
2025-02-22,Amoxicillin_500mg,17,Antibiotic
2025-02-23,Amoxicillin_500mg,12,Antibiotic
2025-02-24,Amoxicillin_500mg,31,Antibiotic
2025-02-25,Amoxicillin_500mg,30,Antibiotic
2025-02-26,Amoxicillin_500mg,25,Antibiotic
2025-02-27,Amoxicillin_500mg,29,Antibiotic
2025-02-28,Amoxicillin_500mg,32,Antibiotic
2025-03-01,Amoxicillin_500mg,14,Antibiotic
2025-03-02,Amoxicillin_500mg,3,Antibiotic
2025-03-03,Amoxicillin_500mg,36,Antibiotic
2025-03-04,Amoxicillin_500mg,32,Antibiotic
2025-03-05,Amoxicillin_500mg,20,Antibiotic
2025-03-06,Amoxicillin_500mg,30,Antibiotic
2025-03-07,Amoxicillin_500mg,22,Antibiotic
2025-03-08,Amoxicillin_500mg,12,Antibiotic
2025-03-09,Amoxicillin_500mg,12,Antibiotic
2025-03-10,Amoxicillin_500mg,30,Antibiotic
2025-03-11,Amoxicillin_500mg,20,Antibiotic
2025-03-12,Amoxicillin_500mg,23,Antibiotic
2025-03-13,Amoxicillin_500mg,27,Antibiotic
2025-03-14,Amoxicillin_500mg,29,Antibiotic
2025-03-15,Amoxicillin_500mg,13,Antibiotic
2025-03-16,Amoxicillin_500mg,3,Antibiotic
2025-03-17,Amoxicillin_500mg,38,Antibiotic
2025-03-18,Amoxicillin_500mg,16,Antibiotic
2025-03-19,Amoxicillin_500mg,28,Antibiotic
2025-03-20,Amoxicillin_500mg,19,Antibiotic
2025-03-21,Amoxicillin_500mg,33,Antibiotic
2025-03-22,Amoxicillin_500mg,9,Antibiotic
2025-03-23,Amoxicillin_500mg,9,Antibiotic
2025-03-24,Amoxicillin_500mg,25,Antibiotic
2025-03-25,Amoxicillin_500mg,31,Antibiotic
2025-03-26,Amoxicillin_500mg,21,Antibiotic
2025-03-27,Amoxicillin_500mg,21,Antibiotic
2025-03-28,Amoxicillin_500mg,27,Antibiotic
2025-03-29,Amoxicillin_500mg,16,Antibiotic
2025-03-30,Amoxicillin_500mg,10,Antibiotic
2025-03-31,Amoxicillin_500mg,27,Antibiotic
2025-04-01,Amoxicillin_500mg,24,Antibiotic
2025-04-02,Amoxicillin_500mg,25,Antibiotic
2025-04-03,Amoxicillin_500mg,18,Antibiotic
2025-04-04,Amoxicillin_500mg,15,Antibiotic
2025-04-05,Amoxicillin_500mg,11,Antibiotic
2025-04-06,Amoxicillin_500mg,7,Antibiotic
2025-04-07,Amoxicillin_500mg,20,Antibiotic
2025-04-08,Amoxicillin_500mg,17,Antibiotic
2025-04-09,Amoxicillin_500mg,17,Antibiotic
2025-04-10,Amoxicillin_500mg,27,Antibiotic
2025-04-11,Amoxicillin_500mg,22,Antibiotic
2025-04-12,Amoxicillin_500mg,7,Antibiotic
2025-04-13,Amoxicillin_500mg,2,Antibiotic
2025-04-14,Amoxicillin_500mg,23,Antibiotic
2025-04-15,Amoxicillin_500mg,27,Antibiotic
2025-04-16,Amoxicillin_500mg,19,Antibiotic
2025-04-17,Amoxicillin_500mg,7,Antibiotic
2025-04-18,Amoxicillin_500mg,18,Antibiotic
2025-04-19,Amoxicillin_500mg,9,Antibiotic
2025-04-20,Amoxicillin_500mg,7,Antibiotic
2025-04-21,Amoxicillin_500mg,22,Antibiotic
2025-04-22,Amoxicillin_500mg,10,Antibiotic
2025-04-23,Amoxicillin_500mg,17,Antibiotic
2025-04-24,Amoxicillin_500mg,21,Antibiotic
2025-04-25,Amoxicillin_500mg,23,Antibiotic
2025-04-26,Amoxicillin_500mg,10,Antibiotic
2025-04-27,Amoxicillin_500mg,4,Antibiotic
2025-04-28,Amoxicillin_500mg,34,Antibiotic
2025-04-29,Amoxicillin_500mg,16,Antibiotic
2025-04-30,Amoxicillin_500mg,12,Antibiotic
2025-05-01,Amoxicillin_500mg,25,Antibiotic
2025-05-02,Amoxicillin_500mg,18,Antibiotic
2025-05-03,Amoxicillin_500mg,9,Antibiotic
2025-05-04,Amoxicillin_500mg,6,Antibiotic
2025-05-05,Amoxicillin_500mg,29,Antibiotic
2025-05-06,Amoxicillin_500mg,25,Antibiotic
2025-05-07,Amoxicillin_500mg,11,Antibiotic
2025-05-08,Amoxicillin_500mg,13,Antibiotic
2025-05-09,Amoxicillin_500mg,20,Antibiotic
2025-05-10,Amoxicillin_500mg,11,Antibiotic
2025-05-11,Amoxicillin_500mg,6,Antibiotic
2025-05-12,Amoxicillin_500mg,13,Antibiotic
2025-05-13,Amoxicillin_500mg,18,Antibiotic
