    INFO: 2026-03-09 18:03:28,315:               log.py:   20: Logging to C:\Projects\DATA622\Week1\Lab1\mdpdf.log
   DEBUG: 2026-03-09 18:03:28,415:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-03-09 18:03:28,416:      pdf_renderer.py:  470: printSegment: , we
   DEBUG: 2026-03-09 18:03:28,416:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,417:      pdf_renderer.py:  470: printSegment: re
   DEBUG: 2026-03-09 18:03:28,418:      pdf_renderer.py:  470: printSegment: presenting our capstone project: 
   DEBUG: 2026-03-09 18:03:28,423:      pdf_renderer.py:  470: printSegment: Intelligent Pharmacy Inventory Management
   DEBUG: 2026-03-09 18:03:28,427:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,429:      pdf_renderer.py:  470: printSegment: In short — we built a machine learning system that tells pharmacists exactly 
   DEBUG: 2026-03-09 18:03:28,446:      pdf_renderer.py:  470: printSegment: when
   DEBUG: 2026-03-09 18:03:28,449:      pdf_renderer.py:  470: printSegment:  and 
   DEBUG: 2026-03-09 18:03:28,450:      pdf_renderer.py:  470: printSegment: how much
   DEBUG: 2026-03-09 18:03:28,452:      pdf_renderer.py:  470: printSegment:  to
   DEBUG: 2026-03-09 18:03:28,453:      pdf_renderer.py:  470: printSegment: reorder, while making sure we 
   DEBUG: 2026-03-09 18:03:28,453:      pdf_renderer.py:  470: printSegment: never
   DEBUG: 2026-03-09 18:03:28,455:      pdf_renderer.py:  470: printSegment:  run out of a patient
   DEBUG: 2026-03-09 18:03:28,455:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,456:      pdf_renderer.py:  470: printSegment: s medication.
   DEBUG: 2026-03-09 18:03:28,458:      pdf_renderer.py:  470: printSegment: SLIDE 2 — The Problem (45 seconds)
   DEBUG: 2026-03-09 18:03:28,458:      pdf_renderer.py:  470: printSegment: So here
   DEBUG: 2026-03-09 18:03:28,459:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,460:      pdf_renderer.py:  470: printSegment: s the core tension every pharmacy faces. We call it the 
   DEBUG: 2026-03-09 18:03:28,461:      pdf_renderer.py:  470: printSegment: Optimization Paradox
   DEBUG: 2026-03-09 18:03:28,462:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,463:      pdf_renderer.py:  470: printSegment: On one side, you have 
   DEBUG: 2026-03-09 18:03:28,463:      pdf_renderer.py:  470: printSegment: stockouts
   DEBUG: 2026-03-09 18:03:28,465:      pdf_renderer.py:  470: printSegment: . If a patient walks in to refill their blood pressure medication and
   DEBUG: 2026-03-09 18:03:28,466:      pdf_renderer.py:  470: printSegment: you don
   DEBUG: 2026-03-09 18:03:28,467:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,468:      pdf_renderer.py:  470: printSegment: t have it — that
   DEBUG: 2026-03-09 18:03:28,468:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,469:      pdf_renderer.py:  470: printSegment: s not just lost revenue. That
   DEBUG: 2026-03-09 18:03:28,470:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,471:      pdf_renderer.py:  470: printSegment: s a 
   DEBUG: 2026-03-09 18:03:28,472:      pdf_renderer.py:  470: printSegment: health risk
   DEBUG: 2026-03-09 18:03:28,474:      pdf_renderer.py:  470: printSegment: . They could miss doses. They could
   DEBUG: 2026-03-09 18:03:28,475:      pdf_renderer.py:  470: printSegment: switch pharmacies permanently.
   DEBUG: 2026-03-09 18:03:28,476:      pdf_renderer.py:  470: printSegment: On the other side, you have 
   DEBUG: 2026-03-09 18:03:28,477:      pdf_renderer.py:  470: printSegment: wastage
   DEBUG: 2026-03-09 18:03:28,483:      pdf_renderer.py:  470: printSegment: . Medications expire. If you over-order, those drugs sit on the
   DEBUG: 2026-03-09 18:03:28,485:      pdf_renderer.py:  470: printSegment: shelf, expire, and get destroyed. For an independent pharmacy, that
   DEBUG: 2026-03-09 18:03:28,485:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,488:      pdf_renderer.py:  470: printSegment: s thousands of dollars a year —
   DEBUG: 2026-03-09 18:03:28,489:      pdf_renderer.py:  470: printSegment: literally thrown in the trash.
   DEBUG: 2026-03-09 18:03:28,490:      pdf_renderer.py:  470: printSegment: And here
   DEBUG: 2026-03-09 18:03:28,491:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,492:      pdf_renderer.py:  470: printSegment: s the kicker — most pharmacies today still use 
   DEBUG: 2026-03-09 18:03:28,493:      pdf_renderer.py:  470: printSegment: manual min/max rules
   DEBUG: 2026-03-09 18:03:28,495:      pdf_renderer.py:  470: printSegment: . A pharmacist looks at
   DEBUG: 2026-03-09 18:03:28,496:      pdf_renderer.py:  470: printSegment: the shelf, sees it
   DEBUG: 2026-03-09 18:03:28,496:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,497:      pdf_renderer.py:  470: printSegment: s low, and places an order. No seasonality. No data. Just gut feeling.
   DEBUG: 2026-03-09 18:03:28,499:      pdf_renderer.py:  470: printSegment: Our project replaces that gut feeling with machine learning.
   DEBUG: 2026-03-09 18:03:28,500:      pdf_renderer.py:  470: printSegment: SLIDE 3 — Literature Review (45 seconds)
   DEBUG: 2026-03-09 18:03:28,502:      pdf_renderer.py:  470: printSegment: Before we built anything, we looked at what the industry is already doing.
   DEBUG: 2026-03-09 18:03:28,503:      pdf_renderer.py:  470: printSegment: Traditionally
   DEBUG: 2026-03-09 18:03:28,505:      pdf_renderer.py:  470: printSegment: , pharmacies use things like ABC/XYZ analysis — that
   DEBUG: 2026-03-09 18:03:28,506:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,520:      pdf_renderer.py:  470: printSegment: s classifying drugs by revenue
   DEBUG: 2026-03-09 18:03:28,529:      pdf_renderer.py:  470: printSegment: and demand variability — and Vendor Managed Inventory, where wholesalers like McKesson manage
   DEBUG: 2026-03-09 18:03:28,530:      pdf_renderer.py:  470: printSegment: stock levels for you. The problem? VMI optimizes for the 
   DEBUG: 2026-03-09 18:03:28,531:      pdf_renderer.py:  470: printSegment: wholesaler
   DEBUG: 2026-03-09 18:03:28,532:      pdf_renderer.py:  470: printSegment: , not the 
   DEBUG: 2026-03-09 18:03:28,534:      pdf_renderer.py:  470: printSegment: pharmacy
   DEBUG: 2026-03-09 18:03:28,534:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,535:      pdf_renderer.py:  470: printSegment: On the 
   DEBUG: 2026-03-09 18:03:28,537:      pdf_renderer.py:  470: printSegment: ML side
   DEBUG: 2026-03-09 18:03:28,539:      pdf_renderer.py:  470: printSegment: , there
   DEBUG: 2026-03-09 18:03:28,539:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,552:      pdf_renderer.py:  470: printSegment: s solid recent work. Rathipriya and colleagues used Facebook Prophet — the
   DEBUG: 2026-03-09 18:03:28,555:      pdf_renderer.py:  470: printSegment: same model we use — on retail pharmacy data and got 12 to 18 percent MAPE for chronic medications.
   DEBUG: 2026-03-09 18:03:28,556:      pdf_renderer.py:  470: printSegment: Oliveira
   DEBUG: 2026-03-09 18:03:28,557:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,560:      pdf_renderer.py:  470: printSegment: s group at a hospital compared Prophet against LSTM and XGBoost and found Prophet
   DEBUG: 2026-03-09 18:03:28,562:      pdf_renderer.py:  470: printSegment: performed comparably with way less tuning.
   DEBUG: 2026-03-09 18:03:28,563:      pdf_renderer.py:  470: printSegment: CVS Health
   DEBUG: 2026-03-09 18:03:28,565:      pdf_renderer.py:  470: printSegment:  is doing this at scale with gradient-boosted trees and prescription refill cycle data.
   DEBUG: 2026-03-09 18:03:28,566:      pdf_renderer.py:  470: printSegment: Where we fit in
   DEBUG: 2026-03-09 18:03:28,568:      pdf_renderer.py:  470: printSegment: : we combine Prophet
   DEBUG: 2026-03-09 18:03:28,569:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,571:      pdf_renderer.py:  470: printSegment: s forecasting power with something most of these studies are
   DEBUG: 2026-03-09 18:03:28,572:      pdf_renderer.py:  470: printSegment: missing — 
   DEBUG: 2026-03-09 18:03:28,573:      pdf_renderer.py:  470: printSegment: asymmetric cost functions
   DEBUG: 2026-03-09 18:03:28,574:      pdf_renderer.py:  470: printSegment:  that treat stockouts and wastage differently. That
   DEBUG: 2026-03-09 18:03:28,575:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,577:      pdf_renderer.py:  470: printSegment: s our key
   DEBUG: 2026-03-09 18:03:28,578:      pdf_renderer.py:  470: printSegment: contribution.
   DEBUG: 2026-03-09 18:03:28,581:      pdf_renderer.py:  470: printSegment: SLIDE 4 — Why MAPE Is Not Enough (40 seconds)
   DEBUG: 2026-03-09 18:03:28,583:      pdf_renderer.py:  470: printSegment: Now, our original proposal used MAPE — Mean Absolute Percentage Error — as our primary metric. And
   DEBUG: 2026-03-09 18:03:28,584:      pdf_renderer.py:  470: printSegment: it
   DEBUG: 2026-03-09 18:03:28,585:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,587:      pdf_renderer.py:  470: printSegment: s a good metric for 
   DEBUG: 2026-03-09 18:03:28,588:      pdf_renderer.py:  470: printSegment: accuracy
   DEBUG: 2026-03-09 18:03:28,589:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,590:      pdf_renderer.py:  470: printSegment: But here
   DEBUG: 2026-03-09 18:03:28,591:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,591:      pdf_renderer.py:  470: printSegment: s the problem: 
   DEBUG: 2026-03-09 18:03:28,592:      pdf_renderer.py:  470: printSegment: MAPE is symmetric
   DEBUG: 2026-03-09 18:03:28,595:      pdf_renderer.py:  470: printSegment: . It penalizes over-predicting by 10 units the exact
   DEBUG: 2026-03-09 18:03:28,596:      pdf_renderer.py:  470: printSegment: same as under-predicting by 10 units.
   DEBUG: 2026-03-09 18:03:28,597:      pdf_renderer.py:  470: printSegment: In the real world, those are 
   DEBUG: 2026-03-09 18:03:28,598:      pdf_renderer.py:  470: printSegment: completely different situations
   DEBUG: 2026-03-09 18:03:28,606:      pdf_renderer.py:  470: printSegment: . If I over-predict and order 10 extra
   DEBUG: 2026-03-09 18:03:28,606:      pdf_renderer.py:  470: printSegment: units of Amoxicillin — okay, I have some extra holding cost, maybe a small expiration risk. Minor.
   DEBUG: 2026-03-09 18:03:28,608:      pdf_renderer.py:  470: printSegment: But if I under-predict by 10 units? Patients can
   DEBUG: 2026-03-09 18:03:28,608:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,610:      pdf_renderer.py:  470: printSegment: t fill their prescriptions. I
   DEBUG: 2026-03-09 18:03:28,610:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,612:      pdf_renderer.py:  470: printSegment: m making emergency calls
   DEBUG: 2026-03-09 18:03:28,613:      pdf_renderer.py:  470: printSegment: to the wholesaler. I
   DEBUG: 2026-03-09 18:03:28,613:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,615:      pdf_renderer.py:  470: printSegment: m paying expedited shipping. And worst case — a patient leaves and never comes
   DEBUG: 2026-03-09 18:03:28,616:      pdf_renderer.py:  470: printSegment: back.
   DEBUG: 2026-03-09 18:03:28,617:      pdf_renderer.py:  470: printSegment: So we needed a metric that 
   DEBUG: 2026-03-09 18:03:28,617:      pdf_renderer.py:  470: printSegment: knows
   DEBUG: 2026-03-09 18:03:28,619:      pdf_renderer.py:  470: printSegment:  a stockout is way worse than having a few extra pills on the shelf.
   DEBUG: 2026-03-09 18:03:28,619:      pdf_renderer.py:  470: printSegment: That
   DEBUG: 2026-03-09 18:03:28,620:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,621:      pdf_renderer.py:  470: printSegment: s what led us to define explicit cost functions.
   DEBUG: 2026-03-09 18:03:28,622:      pdf_renderer.py:  470: printSegment: SLIDE 5 — Cost Functions (50 seconds)
   DEBUG: 2026-03-09 18:03:28,624:      pdf_renderer.py:  470: printSegment: We defined two cost functions. Let me walk through them simply.
   DEBUG: 2026-03-09 18:03:28,624:      pdf_renderer.py:  470: printSegment: Wastage cost
   DEBUG: 2026-03-09 18:03:28,626:      pdf_renderer.py:  470: printSegment:  kicks in when you order 
   DEBUG: 2026-03-09 18:03:28,626:      pdf_renderer.py:  470: printSegment: more
   DEBUG: 2026-03-09 18:03:28,628:      pdf_renderer.py:  470: printSegment:  than you needed. It
   DEBUG: 2026-03-09 18:03:28,628:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,637:      pdf_renderer.py:  470: printSegment: s the number of excess units, times
   DEBUG: 2026-03-09 18:03:28,639:      pdf_renderer.py:  470: printSegment: the cost of each unit expiring plus the daily cost of storing it. For most drugs, this works out to 
   DEBUG: 2026-03-09 18:03:28,640:      pdf_renderer.py:  470: printSegment: pennies per unit
   DEBUG: 2026-03-09 18:03:28,641:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,642:      pdf_renderer.py:  470: printSegment: Stockout cost
   DEBUG: 2026-03-09 18:03:28,643:      pdf_renderer.py:  470: printSegment:  kicks in when demand exceeds what you ordered. And this is where the 
   DEBUG: 2026-03-09 18:03:28,645:      pdf_renderer.py:  470: printSegment: alpha
   DEBUG: 2026-03-09 18:03:28,646:      pdf_renderer.py:  470: printSegment: multiplier
   DEBUG: 2026-03-09 18:03:28,648:      pdf_renderer.py:  470: printSegment:  comes in. We set alpha to 10 — meaning the model treats a stockout as 
   DEBUG: 2026-03-09 18:03:28,649:      pdf_renderer.py:  470: printSegment: ten times more
   DEBUG: 2026-03-09 18:03:28,649:      pdf_renderer.py:  470: printSegment: expensive
   DEBUG: 2026-03-09 18:03:28,655:      pdf_renderer.py:  470: printSegment:  than holding an extra unit. On top of that, you add the emergency reorder cost and the
   DEBUG: 2026-03-09 18:03:28,657:      pdf_renderer.py:  470: printSegment: estimated revenue you lose if that patient switches pharmacies.
   DEBUG: 2026-03-09 18:03:28,657:      pdf_renderer.py:  470: printSegment: Here
   DEBUG: 2026-03-09 18:03:28,658:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,660:      pdf_renderer.py:  470: printSegment: s a concrete example with Amoxicillin. Same 10-unit error, two directions:
   DEBUG: 2026-03-09 18:03:28,661:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-09 18:03:28,665:      pdf_renderer.py:  470: printSegment: Over-predict by 10? Costs you 
   DEBUG: 2026-03-09 18:03:28,667:      pdf_renderer.py:  470: printSegment: 55 cents
   DEBUG: 2026-03-09 18:03:28,668:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,669:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-09 18:03:28,670:      pdf_renderer.py:  470: printSegment: Under-predict by 10? Costs you 
   DEBUG: 2026-03-09 18:03:28,671:      pdf_renderer.py:  470: printSegment: $400
   DEBUG: 2026-03-09 18:03:28,672:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,673:      pdf_renderer.py:  470: printSegment: That
   DEBUG: 2026-03-09 18:03:28,674:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,675:      pdf_renderer.py:  470: printSegment: s a 
   DEBUG: 2026-03-09 18:03:28,677:      pdf_renderer.py:  470: printSegment: 727x difference
   DEBUG: 2026-03-09 18:03:28,678:      pdf_renderer.py:  470: printSegment: . And that
   DEBUG: 2026-03-09 18:03:28,679:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,684:      pdf_renderer.py:  470: printSegment: s exactly the behavior we want — the system will always prefer to
   DEBUG: 2026-03-09 18:03:28,686:      pdf_renderer.py:  470: printSegment: slightly over-order rather than risk a single stockout. 
   DEBUG: 2026-03-09 18:03:28,688:      pdf_renderer.py:  470: printSegment: Patient safety first.
   DEBUG: 2026-03-09 18:03:28,689:      pdf_renderer.py:  470: printSegment: SLIDE 6 — Technical Architecture (40 seconds)
   DEBUG: 2026-03-09 18:03:28,691:      pdf_renderer.py:  470: printSegment: Here
   DEBUG: 2026-03-09 18:03:28,692:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,700:      pdf_renderer.py:  470: printSegment: s how it all connects. The top row is our forecast pipeline — synthetic data goes through
   DEBUG: 2026-03-09 18:03:28,702:      pdf_renderer.py:  470: printSegment: preprocessing, into Facebook Prophet, which produces a 30-day probabilistic forecast.
   DEBUG: 2026-03-09 18:03:28,703:      pdf_renderer.py:  470: printSegment: The 
   DEBUG: 2026-03-09 18:03:28,704:      pdf_renderer.py:  470: printSegment: new layer
   DEBUG: 2026-03-09 18:03:28,707:      pdf_renderer.py:  470: printSegment:  — shown at the bottom in red — is the cost optimization. The forecast
   DEBUG: 2026-03-09 18:03:28,707:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,715:      pdf_renderer.py:  470: printSegment: s prediction intervals
   DEBUG: 2026-03-09 18:03:28,719:      pdf_renderer.py:  470: printSegment: feed into both cost functions. We evaluate candidate order quantities across that distribution and
   DEBUG: 2026-03-09 18:03:28,721:      pdf_renderer.py:  470: printSegment: pick the one that 
   DEBUG: 2026-03-09 18:03:28,723:      pdf_renderer.py:  470: printSegment: minimizes total expected cost
   DEBUG: 2026-03-09 18:03:28,723:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-09 18:03:28,727:      pdf_renderer.py:  470: printSegment: Because of that alpha equals 10 penalty, the optimal order quantity Q-star consistently lands near the
   DEBUG: 2026-03-09 18:03:28,728:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2026-03-09 18:03:28,729:      pdf_renderer.py:  470: printSegment: 80th to 90th percentile
   DEBUG: 2026-03-09 18:03:28,730:      pdf_renderer.py:  470: printSegment:  of the predicted demand — not the median. That
   DEBUG: 2026-03-09 18:03:28,731:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,733:      pdf_renderer.py:  470: printSegment: s the mathematical mechanism
   DEBUG: 2026-03-09 18:03:28,735:      pdf_renderer.py:  470: printSegment: that ensures we prioritize patient safety.
   DEBUG: 2026-03-09 18:03:28,736:      pdf_renderer.py:  470: printSegment: And all of this is surfaced through a 
   DEBUG: 2026-03-09 18:03:28,737:      pdf_renderer.py:  470: printSegment: Streamlit dashboard
   DEBUG: 2026-03-09 18:03:28,740:      pdf_renderer.py:  470: printSegment:  where a pharmacist can see real-time
   DEBUG: 2026-03-09 18:03:28,741:      pdf_renderer.py:  470: printSegment: reorder alerts for all 8 medications.
   DEBUG: 2026-03-09 18:03:28,743:      pdf_renderer.py:  470: printSegment: SLIDE 7 — Who Else Is Doing This (30 seconds)
   DEBUG: 2026-03-09 18:03:28,745:      pdf_renderer.py:  470: printSegment: Quick landscape scan — who else is using time-series methods in pharmacy?
   DEBUG: 2026-03-09 18:03:28,747:      pdf_renderer.py:  470: printSegment: CVS Health is the biggest player — they use gradient-boosted trees with prescription refill data.
   DEBUG: 2026-03-09 18:03:28,748:      pdf_renderer.py:  470: printSegment: Rathipriya
   DEBUG: 2026-03-09 18:03:28,749:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,765:      pdf_renderer.py:  470: printSegment: s group proved Prophet works well for retail pharmacy. Oliveira showed it holds up
   DEBUG: 2026-03-09 18:03:28,771:      pdf_renderer.py:  470: printSegment: against deep learning in hospitals. And the major wholesalers — McKesson, AmerisourceBergen — run
   DEBUG: 2026-03-09 18:03:28,773:      pdf_renderer.py:  470: printSegment: VMI systems, but those optimize for 
   DEBUG: 2026-03-09 18:03:28,773:      pdf_renderer.py:  470: printSegment: their
   DEBUG: 2026-03-09 18:03:28,775:      pdf_renderer.py:  470: printSegment:  logistics, not the pharmacy
   DEBUG: 2026-03-09 18:03:28,777:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,778:      pdf_renderer.py:  470: printSegment: s patients.
   DEBUG: 2026-03-09 18:03:28,779:      pdf_renderer.py:  470: printSegment: Our differentiator
   DEBUG: 2026-03-09 18:03:28,780:      pdf_renderer.py:  470: printSegment: : we
   DEBUG: 2026-03-09 18:03:28,781:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,786:      pdf_renderer.py:  470: printSegment: re the only approach that combines Prophet forecasting with explicit
   DEBUG: 2026-03-09 18:03:28,787:      pdf_renderer.py:  470: printSegment: asymmetric cost penalties, and we
   DEBUG: 2026-03-09 18:03:28,788:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,789:      pdf_renderer.py:  470: printSegment: re designing it to be open-source and pharmacy-centric.
   DEBUG: 2026-03-09 18:03:28,790:      pdf_renderer.py:  470: printSegment: SLIDE 8 — Evaluation 
   DEBUG: 2026-03-09 18:03:28,791:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-03-09 18:03:28,792:      pdf_renderer.py:  470: printSegment:  Timeline (30 seconds)
   DEBUG: 2026-03-09 18:03:28,793:      pdf_renderer.py:  470: printSegment: We evaluate on 
   DEBUG: 2026-03-09 18:03:28,793:      pdf_renderer.py:  470: printSegment: three axes
   DEBUG: 2026-03-09 18:03:28,795:      pdf_renderer.py:  470: printSegment: , not just one. Forecast accuracy via MAPE — we
   DEBUG: 2026-03-09 18:03:28,795:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,814:      pdf_renderer.py:  470: printSegment: re targeting under 20
   DEBUG: 2026-03-09 18:03:28,826:      pdf_renderer.py:  470: printSegment: percent for chronic drugs. Business cost via our asymmetric loss function. And service level — we want
   DEBUG: 2026-03-09 18:03:28,828:      pdf_renderer.py:  470: printSegment: a fill rate above 95 percent, meaning 95 percent of demand is met from existing stock.
   DEBUG: 2026-03-09 18:03:28,829:      pdf_renderer.py:  470: printSegment: The timeline is 10 weeks. Data generation and EDA are done. We
   DEBUG: 2026-03-09 18:03:28,830:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,837:      pdf_renderer.py:  470: printSegment: re now in the modeling and cost
   DEBUG: 2026-03-09 18:03:28,838:      pdf_renderer.py:  470: printSegment: function implementation phase, with the dashboard and final report coming in weeks 9 and 10.
   DEBUG: 2026-03-09 18:03:28,840:      pdf_renderer.py:  470: printSegment: SLIDE 9 — Thank You (15 seconds)
   DEBUG: 2026-03-09 18:03:28,841:      pdf_renderer.py:  470: printSegment: To wrap up — we started with a simple idea: help pharmacists order smarter. But by layering 
   DEBUG: 2026-03-09 18:03:28,842:      pdf_renderer.py:  470: printSegment: asymmetric cost functions
   DEBUG: 2026-03-09 18:03:28,843:      pdf_renderer.py:  470: printSegment:  on top of 
   DEBUG: 2026-03-09 18:03:28,844:      pdf_renderer.py:  470: printSegment: time-series forecasting
   DEBUG: 2026-03-09 18:03:28,845:      pdf_renderer.py:  470: printSegment: , we
   DEBUG: 2026-03-09 18:03:28,845:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,846:      pdf_renderer.py:  470: printSegment: ve built something that doesn
   DEBUG: 2026-03-09 18:03:28,848:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,849:      pdf_renderer.py:  470: printSegment: t
   DEBUG: 2026-03-09 18:03:28,850:      pdf_renderer.py:  470: printSegment: just predict demand — it makes 
   DEBUG: 2026-03-09 18:03:28,851:      pdf_renderer.py:  470: printSegment: cost-aware decisions
   DEBUG: 2026-03-09 18:03:28,852:      pdf_renderer.py:  470: printSegment:  that put patient safety first.
   DEBUG: 2026-03-09 18:03:28,853:      pdf_renderer.py:  470: printSegment: Thank you. We
   DEBUG: 2026-03-09 18:03:28,854:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-09 18:03:28,854:      pdf_renderer.py:  470: printSegment: re happy to take questions.
   DEBUG: 2026-03-09 18:03:28,856:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2026-03-09 18:03:28,856:      pdf_renderer.py:  470: printSegment: newpage
   DEBUG: 2026-03-09 18:03:28,857:      pdf_renderer.py:  470: printSegment: CHEAT SHEET: LIKELY QUESTIONS 
   DEBUG: 2026-03-09 18:03:28,858:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-03-09 18:03:28,859:      pdf_renderer.py:  470: printSegment:  STRONG ANSWERS
   DEBUG: 2026-03-09 18:03:28,860:      pdf_renderer.py:  470: printSegment: Print This On The Back / Second Page
   DEBUG: 2026-03-09 18:03:28,862:      pdf_renderer.py:  470: printSegment: Q1: 
   DEBUG: 2026-03-09 18:03:28,862:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-09 18:03:28,863:      pdf_renderer.py:  470: printSegment: Why did you choose alpha = 10? Why not 5 or 20?
   DEBUG: 2026-03-09 18:03:28,865:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-09 18:03:28,899:      pdf_renderer.py:  470: printSegment: Great question. The value of 10 comes from pharmaceutical supply chain literature — specifically
   DEBUG: 2026-03-09 18:03:28,912:      pdf_renderer.py:  470: printSegment: Uthayakumar and Priyan (2013), who found stockout penalties in pharmacy settings range from 5x
